text,likes,retweets,is_trending
Movie premiere breaks box office #breaking,32115,11611,1
Meta unveils VR glasses #trending,47220,19893,1
Olympics 2028 host announced #AI,32041,2502,0
Apple announces foldable iPhone #health,26142,10491,1
Amazon expands to Africa #health,47579,21187,1
Bitcoin hits new ATH #crypto,21901,6102,1
Twitter introduces paid features #news,13442,2463,0
UN votes on climate resolution #sports,7185,9930,0
Google launches new AI model #tech,38164,3329,0
Bitcoin hits new ATH #space,31140,3529,0
Bitcoin hits new ATH #space,39191,17745,1
Meta unveils VR glasses #AI,8015,23247,0
Stock market crashes #health,43497,2602,0
Amazon expands to Africa #space,48160,13817,1
Meta unveils VR glasses #crypto,40729,20075,1
Rare eclipse this weekend #AI,18515,24068,1
Stock market crashes #health,25087,18432,1
New electric vehicle by Tesla #breaking,27555,23926,1
AI beats human at chess #news,17207,4849,0
Olympics 2028 host announced #tech,31100,11678,1
ChatGPT gets upgraded #trending,31578,22977,1
Climate change summit 2025 #space,17320,20870,1
Rare eclipse this weekend #sports,29020,621,0
NASA discovers water on Mars #news,19886,7668,1
Olympics 2028 host announced #news,42518,3558,0
Rare eclipse this weekend #sports,21351,8098,1
Movie premiere breaks box office #crypto,33411,6371,1
New COVID variant detected #breaking,29800,1204,0
ChatGPT gets upgraded #health,16235,3840,0
Meta unveils VR glasses #space,42187,24550,1
Amazon expands to Africa #AI,16811,8464,1
Stock market crashes #AI,40442,11076,1
UN votes on climate resolution #music,48063,23460,1
Rare eclipse this weekend #sports,3999,16667,0
Movie premiere breaks box office #news,28564,4082,1
New electric vehicle by Tesla #health,20566,16048,1
New COVID variant detected #crypto,47224,7084,1
New electric vehicle by Tesla #news,27377,9332,1
Rare eclipse this weekend #sports,6553,9428,0
NASA discovers water on Mars #tech,41882,7307,1
K-pop band breaks YouTube record #news,9394,1363,0
Meta unveils VR glasses #tech,4458,8503,0
Climate change summit 2025 #music,37292,8886,1
Taylor Swift releases new album #trending,29872,24751,1
Twitter introduces paid features #AI,2791,15045,0
UN votes on climate resolution #sports,38583,20954,1
New electric vehicle by Tesla #AI,36436,3241,0
Google launches new AI model #sports,22349,13829,1
Amazon expands to Africa #tech,28891,7190,1
SpaceX lands booster successfully #crypto,9222,6999,0
AI beats human at chess #tech,46704,11565,1
Climate change summit 2025 #news,1613,21481,0
Climate change summit 2025 #tech,37026,8371,1
Apple announces foldable iPhone #tech,25469,595,0
Stock market crashes #space,20601,10365,1
Climate change summit 2025 #music,2174,4427,0
Twitter introduces paid features #breaking,18697,14419,1
K-pop band breaks YouTube record #news,6737,23573,0
K-pop band breaks YouTube record #breaking,10435,2903,0
Rare eclipse this weekend #tech,47099,7031,1
Apple announces foldable iPhone #trending,932,14409,0
SpaceX lands booster successfully #sports,24028,11013,1
SpaceX lands booster successfully #space,49251,21757,1
New COVID variant detected #AI,39232,7796,1
Movie premiere breaks box office #space,49908,20702,1
Climate change summit 2025 #health,49688,24860,1
Bitcoin hits new ATH #AI,11016,24211,1
K-pop band breaks YouTube record #crypto,22103,16802,1
Meta unveils VR glasses #news,15654,2153,0
Bitcoin hits new ATH #AI,48569,11392,1
AI beats human at chess #crypto,33843,290,0
K-pop band breaks YouTube record #space,43295,12416,1
Taylor Swift releases new album #space,8040,24519,0
Taylor Swift releases new album #news,30345,17244,1
New electric vehicle by Tesla #tech,41024,13960,1
UN votes on climate resolution #sports,42394,3038,0
Movie premiere breaks box office #space,9957,5762,1
Apple announces foldable iPhone #space,39063,21564,1
Twitter introduces paid features #breaking,8876,17390,0
New electric vehicle by Tesla #news,27006,12196,1
SpaceX lands booster successfully #tech,2407,22002,0
Apple announces foldable iPhone #AI,38907,4589,0
New electric vehicle by Tesla #sports,9888,357,0
Movie premiere breaks box office #breaking,21811,16496,1
Climate change summit 2025 #music,626,6673,0
SpaceX lands booster successfully #sports,16283,11083,1
New electric vehicle by Tesla #breaking,34068,4861,0
New COVID variant detected #breaking,40460,1947,1
Olympics 2028 host announced #space,37828,18947,1
Rare eclipse this weekend #trending,24054,21829,1
Rare eclipse this weekend #space,48052,17101,1
ChatGPT gets upgraded #crypto,35233,10601,1
UN votes on climate resolution #breaking,34892,5868,1
ChatGPT gets upgraded #news,29284,13196,1
NASA discovers water on Mars #news,21291,18024,1
Bitcoin hits new ATH #sports,44940,21827,1
NASA discovers water on Mars #tech,38162,18063,1
Meta unveils VR glasses #tech,35959,17262,1
UN votes on climate resolution #health,27136,17400,1
UN votes on climate resolution #sports,40928,524,0
Olympics 2028 host announced #space,720,2717,0
NASA discovers water on Mars #tech,45071,16420,1
Rare eclipse this weekend #health,47440,23487,1
Bitcoin hits new ATH #trending,36596,3202,0
AI beats human at chess #tech,7017,13087,0
Twitter introduces paid features #sports,7075,13430,0
Apple announces foldable iPhone #space,30977,18001,1
Google launches new AI model #music,42457,10705,1
Stock market crashes #breaking,42666,21422,1
UN votes on climate resolution #trending,15515,8323,1
AI beats human at chess #news,2700,1826,0
Bitcoin hits new ATH #crypto,24628,22213,1
K-pop band breaks YouTube record #space,30774,11318,1
Bitcoin hits new ATH #space,30597,2591,0
New COVID variant detected #space,45551,4754,0
Google launches new AI model #AI,13178,2246,0
Amazon expands to Africa #trending,29442,21616,1
Bitcoin hits new ATH #sports,38570,12705,1
Amazon expands to Africa #tech,43677,1436,1
Movie premiere breaks box office #tech,19219,21036,1
Movie premiere breaks box office #music,46149,11982,1
Apple announces foldable iPhone #breaking,6056,8267,0
